iter	Passed	Remaining
822	40125	81763
823	40176	81718
824	40225	81668
825	40274	81620
826	40322	81571
827	40369	81519
828	40416	81466
829	40464	81416
830	40511	81364
831	40561	81318
832	40609	81267
833	40657	81217
834	40703	81164
835	40753	81117
836	40801	81066
837	40849	81016
838	40897	80965
839	40943	80913
840	41002	80883
841	41050	80834
842	41099	80785
843	41147	80735
844	41194	80682
845	41243	80635
846	41293	80587
847	41339	80533
848	41387	80484
849	41436	80435
850	41485	80386
851	41532	80335
852	41583	80290
853	41631	80241
854	41677	80186
855	41726	80138
856	41773	80086
857	41822	80038
858	41870	79987
859	41917	79936
860	41967	79888
861	42013	79836
862	42063	79789
863	42113	79743
864	42159	79689
865	42208	79641
866	42254	79587
867	42302	79536
868	42347	79481
869	42397	79434
870	42444	79382
871	42492	79331
872	42539	79281
873	42589	79234
874	42635	79179
875	42684	79132
876	42734	79086
877	42779	79030
878	42828	78982
879	42875	78930
880	42924	78881
881	42973	78832
882	43020	78782
883	43069	78733
884	43117	78683
885	43164	78631
886	43211	78579
887	43258	78527
888	43305	78475
889	43352	78423
890	43399	78372
891	43449	78325
892	43496	78274
893	43544	78223
894	43593	78175
895	43639	78122
896	43686	78071
897	43734	78020
898	43781	77969
899	43835	77930
900	43884	77881
901	43933	77833
902	43978	77778
903	44027	77730
904	44073	77677
905	44121	77625
906	44173	77583
907	44221	77533
908	44270	77486
909	44320	77438
910	44368	77388
911	44414	77335
912	44461	77283
913	44508	77232
914	44565	77198
915	44617	77155
916	44680	77130
917	44729	77083
918	44788	77052
919	44835	77000
920	44884	76951
921	44932	76902
922	44978	76848
923	45027	76800
924	45075	76750
925	45121	76696
926	45171	76649
927	45220	76601
928	45268	76551
929	45317	76504
930	45363	76450
931	45427	76426
932	45475	76377
933	45527	76334
934	45574	76282
935	45620	76229
936	45667	76177
937	45716	76129
938	45765	76080
939	45813	76030
940	45860	75978
941	45907	75927
942	45955	75878
943	46003	75828
944	46052	75780
945	46100	75730
946	46147	75677
947	46193	75625
948	46241	75575
949	46289	75524
950	46335	75471
951	46382	75419
952	46429	75369
953	46477	75319
954	46525	75268
955	46574	75221
956	46619	75166
957	46668	75118
958	46714	75064
959	46764	75018
960	46813	74969
961	46857	74913
962	46905	74863
963	46954	74815
964	47000	74762
965	47048	74712
966	47097	74663
967	47144	74613
968	47191	74562
969	47239	74511
970	47285	74458
971	47335	74411
972	47380	74357
973	47430	74310
974	47478	74261
975	47524	74208
976	47573	74159
977	47622	74112
978	47670	74062
979	47718	74012
980	47768	73965
981	47816	73915
982	47864	73866
983	47911	73814
984	47957	73761
985	48006	73714
986	48054	73664
987	48100	73611
988	48147	73560
989	48194	73508
990	48243	73460
991	48289	73408
992	48338	73360
993	48384	73306
994	48434	73260
995	48482	73210
996	48532	73163
997	48581	73115
998	48628	73064
999	48676	73014
1000	48720	72959
1001	48770	72911
1002	48818	72862
1003	48862	72807
1004	48910	72757
1005	48957	72706
1006	49005	72655
1007	49054	72608
1008	49101	72557
1009	49148	72506
1010	49197	72457
1011	49246	72410
1012	49294	72360
1013	49340	72307
1014	49385	72254
1015	49430	72199
1016	49478	72150
1017	49524	72096
1018	49571	72046
1019	49618	71995
1020	49667	71947
1021	49714	71897
1022	49763	71848
1023	49811	71798
1024	49858	71746
1025	49906	71698
1026	49953	71646
1027	50002	71598
1028	50050	71549
1029	50096	71496
1030	50142	71445
1031	50205	71417
1032	50257	71372
1033	50307	71325
1034	50354	71274
1035	50402	71224
1036	50448	71172
1037	50495	71122
1038	50542	71070
1039	50590	71021
1040	50638	70971
1041	50685	70920
1042	50733	70871
1043	50780	70820
1044	50828	70771
1045	50876	70720
1046	50924	70671
1047	50976	70628
